01 加入社团，期待新的开始
阅读阶段：相识
前情提示（整理者添加，非原文）：柊史已经得知与母亲及心之碎片有关的事情，决定继续与宁宁合作。
原选集：01_加入社团，期待新的开始.txt；第 9—89 行；本篇为原选集该篇的第 1/1 段。
全文来源：魔女的夜宴_剧本文本.txt，第 1784—1864 行；原章：004.共通－今後もよろしく
说明：篇名、前情与来源说明为编辑文字；以下正文逐字保留原选文，包括原译名、错字、标点、控制标签和已有空行。不同角色路线不能视为同一时间线。

========== 原文开始 ==========
[旁白] 我听说母亲的事是在周末。
[旁白] 在双休日思考了各种事，终于迎来了周一。
[旁白] 迎来比平时还要疲倦一些的早晨的我，呆然地仰望着天花板。
[柊史] 「………」
[旁白] 虽然那之后一直在思考，但得出的答案还是没有变化。
[柊史] 「走吧」
[旁白] 我猛地从床上起来。
[柊史] 「早上好」
[佳苗] 「嗯？怎么了，保科？一大早就来教职员室……到底犯什么事了？」
[柊史] 「能别这么先入为主么？什么事都没犯好么」
[佳苗] 「那是来干什么的？教职员室这种地方，没什么事是不会来的吧」
[柊史] 「所以都说了不要先入为主啦。我来是为了很普通的事」
[佳苗] 「不管怎么说都很少见……于是，是有什么事？」
[柊史] 「实际上」
[旁白] 然后迎来了放学——
[柊史] 「……吸，呼……吸，呼……」
[旁白] 我再次在超自研的活动室前做起了深呼吸。
[旁白] 绫地同学已经离开了教室，所以恐怕今天也在社团吧。
[柊史] 「果然还是会紧张啊」
[旁白] 总感觉稍微有点踌躇。
[旁白] 但是，决心并没有动摇。
[旁白] 我攥紧今早从老师那里得到的纸敲响了门。
[宁宁] 「请进，门开着的」
[旁白] 听到绫地同学隔着门的回应，我缓缓打开了门。
[宁宁] 「啊，保科君？今天有什么事呢？」
[柊史] 「关于之前那件事，有些话要和绫地同学说」
[宁宁] 「诶？啊……请，请稍微等一下哦」
[旁白] 绫地同学打开门，观察了一下外面的情况。
[旁白] 然后在确认了没有任何人之后，给活动室上了锁。
[旁白] 不，虽然在绫地同学看来大概只是因为谈话内容不想被人听到而锁上门的……但这是在密室中和漂亮的女生二人独处。
[旁白] 在和刚才不同的意义上，让人有些心跳加速。
[宁宁] 「没问题了，外面没有任何人。只要不发出太大的声音，我觉得是不会有谁听见的」
[旁白] 感觉这说法莫名地有些色色的……
[柊史] 「那啥，对于上周的事我考虑了很多」
[宁宁] 「不用那么着急哦？因为不管怎样，那也都不是一两天能够解决的问题……」
[柊史] 「没事。我并不是在焦急中得出答案的。这是我在问了各种关于母亲的事……在休息日期间好好思考后得出的答案」
[宁宁] 「那是，找到了填补“心之穴”的方法了，的意思么？」
[柊史] 「不，抱歉。很不好意思，那个说不准」
[宁宁] 「……说的，也是呢。这也是没办法的」
[柊史] 「不过，我想努力试着填补它」
[柊史] 「所以绫地同学，能让我加入超自然研究部么？」
[宁宁] 「……诶？」
[柊史] 「给，这是入部申请」
[宁宁] 「诶？诶？那个……为什么要加入社团？加入社团，和填补保科君的心有关系么？」
[柊史] 「啊—……关于那一点，我也不清楚……不过，我想啊」
[宁宁] 「想什么？」
[柊史] 「想要过上能够笑得稍微自然一点的生活……这样」
[旁白] 照片上的笑容，那是现在的我无法露出的笑容。
[旁白] 真的，只能挤出恶心的笑容啊，我……。
[旁白] 但母亲就算曾经吃苦受累，也开心地笑着，使用能力帮助了困扰的人。和我不同，也没有什么企图。
[旁白] 从父亲那里听说的，『只是做了自己力所能及的事而已』那句话，一定就是那个意思吧。
[柊史] 「所以……那个……」
[柊史] 「尽管迄今为止我都觉得如果能够改变的话，我也想要去改变……但也只是那样想想，而没有实际去努力过」
[柊史] 「但现在成了这样的事态……感觉如果真的想要改变的话，要试着努力就只有趁现在了……」
[柊史] 「虽然我也没办法很清楚地表达出来，感觉背后都有些痒了，不过……」
[柊史] 「总之绫地同学！」
[宁宁] 「请，请讲」
[柊史] 「可以的话，能让我来帮忙么？」
[旁白] 虽说不知道该如何是好，到头来还是选择了模仿母亲，让人很不好意思就是了。
[旁白] 就算如此，只要踏出第一步，说不定就会有什么改变。
[旁白] 这份心意，绝对不是拍脑袋临时想出来的——
[宁宁] 「……保科君的心意我明白了」
[宁宁] 「不过……说实话，事情也不尽然能进展顺利。也是会失败的哦」
[柊史] 「没问题」
[旁白] 我想要寻找的，并不是受人感谢的方法。
[柊史] 「而且，为了把“心之碎片”还给绫地同学，就算是瞎摸索，现在也得做点什么啊」
[宁宁] 「不过呢，那个……我还有“契约”的问题……说不定会给你添麻烦的」
[柊史] 「啊—……那个啊，嘛……我，我会尽力从旁提供掩护协助的」
[柊史] 「话虽这么说，但我毕竟是男的所以能做的事也有限……当然前提是绫地同学不反感……的话」
[宁宁] 「………」
[宁宁] 「那么，今后就请多关照了」
[柊史] 「嗯。请多关照」
[旁白] 这，就成为了我踏出至今为止给自己划定的边界线的第一步。
[柊史] 「啊，掩护协助的事我也会努力的！在图书馆门口放哨这种程度，随时都可以！」
[宁宁] 「……只有去死了……只有切腹自尽了……」
[柊史] 「冷静点！抱歉！真的很抱歉！我不是那个意思！」
[宁宁] 「……虽然不知趣的人让人很困扰，但就算那样也没必要知趣到那种奇怪的地方啊……是在故意捉弄人么……」
[柊史] 「真的非常抱歉」
[旁白] 入学姬松学院约一年半。
[旁白] 在第二年的夏天过去后，我终于抱有了期待。
[旁白] 现如今，会有怎样的开端呢……
