02 从游戏话题到自然相处
阅读阶段：熟悉
前情提示（整理者添加，非原文）：爱瑠曾向社团咨询人际交往问题，现在柊史继续关心她的进展。
原选集：02_从游戏话题到自然相处.txt；第 9—253 行；本篇为原选集该篇的第 1/1 段。
全文来源：魔女的夜宴_剧本文本.txt，第 3044—3288 行；原章：007.共通－めぐるのその後
说明：篇名、前情与来源说明为编辑文字；以下正文逐字保留原选文，包括原译名、错字、标点、控制标签和已有空行。不同角色路线不能视为同一时间线。

========== 原文开始 ==========
[旁白] 铃声打响，午休开始之后，教室内的气氛便一下子轻松下来。
[秀明] 「哟，午饭怎么吃？」
[柊史] 「嗯？和平时一样在食堂」
[秀明] 「那一起去吧」
[柊史] 「那倒是无所谓，但不会请你哦」
[秀明] 「我也没那样期待过」
[和奏] 「啊，你们要去食堂？我也一起去吧」
[秀明] 「今天到底吃什么好呢。A套餐的炸虾虽然很好吃，但很贵啊」
[柊史] 「我吃什么好呢…鸡肉鸡蛋盖饭好了」
[秀明] 「啊—，盖饭也不错啊—」
[和奏] 「我就吃龙田炸鸡套餐好了」（译注：龙田炸是把用酱油腌制的肉类裹上淀粉炸出来的料理，据说是轻巡洋舰龙田号的厨师在面粉用完时发明的替代法，因此得名）」
[秀明] 「啊—！龙田炸鸡也不错啊！真是难以决定！」
[秀明] 「不过龙田炸鸡套餐什么的没问题么？和奏酱，不会胖么？」
[柊史] 「你真的是非要多嘴一句啊？」
[和奏] 「我倒是觉得保科你也半斤八两啊」
[柊史] 「真的！？」
[和奏] 「你自己没注意到吗？」
[旁白] 被单刀直入了……是那样么……
[旁白] 还是多注意点吧，毕竟我也不想惹人生气。
[和奏] 「我说啊海道，吃下去的卡路里，只要好好运动消化掉就没问题了」
[秀明] 「哦—，原来如此」
[和奏] 「所以说，我要活动一下身体所以稍微给我当一下沙包，海道」
[秀明] 「等，等一下！难道你真的打算揍朋友么！？」
[秀明] 「非常感谢」
[和奏] 「呜哇啊啊！我忘记海道是恶心的抖M了！」
[秀明] 「嘛，也没办法啊……毕竟都怪我不注意说错了话。这种程度我会忍耐的」
[秀明] 「好了来吧」
[和奏] 「不要，救救我保科～」
[柊史] 「已经晚了。还是别管他吧」
[旁白] 在我们前往食堂的途中，一个低年级学生擦身而过。
[爱瑠] 「……啊」
[柊史] 「啊……」
[爱瑠] 「………」
[旁白] 是因幡同学。一见到我就慌忙移开视线，拿着和昨天一样的袋子，迅速地离开了教室。
[旁白] 她离去之际传达过来的……是自己孤身一人的光景被人发现时的羞耻、以及寂寞的感情。
[柊史] 「………」
[和奏] 「嗯？保科？怎么了？」
[秀明] 「快走吧！」
[柊史] 「不好意思，我想起来有点事。午饭就去其他地方吃了」
[秀明] 「是么？」
[和奏] 「要在别的地方吃午饭的事是什么事啊？」
[柊史] 「是一点和社团有关的私事。不好意思，那我先走了」
[旁白] 我只留下那一句话，就小跑着穿过了走廊。
[爱瑠] 「……哈……」
[柊史] 「你在叹什么气啊？」
[爱瑠] 「吓！？什，什什什什么！？保，保科学长？你在这种地方做什么啊？」
[柊史] 「做什么，那当然是吃午饭啊？」
[爱瑠] 「诶？不过学长，不是要和刚才在你身边的朋友一起去吃吗？」
[柊史] 「他们要去食堂，但是我想吃面包，所以就分头行动了」
[柊史] 「因此呢，因幡同学」
[爱瑠] 「什么？」
[柊史] 「今天能陪我吃午饭么？」
[爱瑠] 「……什么？『我』吗？」
[柊史] 「你不愿意和我一起吃午饭么？」
[爱瑠] 「不，倒是没有那种事啦……」
[柊史] 「Okay。那就走吧」
[爱瑠] 「啊，好的」
[柊史] 「因幡同学的便当，看起来很好吃啊。顺带问一下那个是自己做的么？」
[爱瑠] 「怎么会，是妈妈做的」
[柊史] 「嘿——」
[爱瑠] 「学长呢？一直都吃面包吗？」
[柊史] 「面包或者食堂。嘛，有点家庭原因」
[爱瑠] 「是那样啊……不过，对于正在发育的男生来说，量不会不足吗？」
[柊史] 「嗯？是有点啦。不过饿得慌的时候，回了家就会吃点泡面之类的」
[爱瑠] 「我觉得那样子对身体可不好哦？」
[爱瑠] 「真拿你没办法呢。出于同情，分给你一点炸鸡吧」
[旁白] 因幡同学那样说着，从便当盒里夹出一块炸鸡放到了我的面包上。
[柊史] 「可以么？」
[爱瑠] 「嘛，今天是特别的。毕竟还让我使用了这个地方嘛……」
[柊史] 「那样的话我就不客气了。谢谢」
[旁白] 我吃起了夹在面包里的炸鸡。
[旁白] 就算凉了也很好吃。和便利店的便当不同……这就是手制便当么。
[爱瑠] 「……？怎么了？」
[柊史] 「不，我只是觉得真的很好吃」
[柊史] 「玉子烧也给我一个」
[爱瑠] 「诶？啊，欸！你做什么啊，擅自拿别人的东西！」
[柊史] 「没必要那么生气吧。玉子烧还有一块的吧」
[爱瑠] 「我就是喜欢玉子烧才留到最后的啊！擅自偷走太差劲了！」
[柊史] 「我错了，我错了还不行吗。稍微冷静点。我知道了，让你吃点我的面包来代替玉子烧吧」
[爱瑠] 「呀！那种学长吃到一半的面包我才不要！好脏！」
[柊史] 「脏什么的有点失礼了吧！有点太失礼了吧！」
[爱瑠] 「欸，别凑过来，别凑到我脸边来啊！」
[旁白] 像这样，我们一边吵吵嚷嚷，一边吃完了午饭。
[爱瑠] 「我吃饱了」
[柊史] 「我吃饱了」
[旁白] 就这样，手忙脚乱的午饭时间结束，进入了闲适的时间。
[旁白] 有点意外的是，我的能力没有从因幡同学身上感受到不快的感觉。
[旁白] 本来还以为会变得有点尴尬的……。可能也是因为那个，害我有点得意忘形了。
[旁白] 不过……也好，毕竟挺开心的。
[爱瑠] 「那个，学长」
[柊史] 「嗯？」
[爱瑠] 「今天非常感谢」
[柊史] 「我不知道你为什么要道谢啊。今天是由于我的请求，因幡同学才陪我的啊」
[爱瑠] 「说起来的确是那样啊」
[柊史] 「嘛，那啥。作为今天的回礼，因幡同学想要有人陪的时候我会陪你的」
[柊史] 「而且，说一声的话绫地同学大概也会陪你的吧？所以，放宽心跟我们说就是了」
[爱瑠] 「……好的，十分感谢」
[柊史] 「好了……饭也吃完了，要回教室去了么？」
[爱瑠] 「学长要回去了？已经要锁门了吗？」
[柊史] 「不，我还打算再待一会」
[爱瑠] 「那么，我也留下吧。毕竟还有想要做的事呢」
[柊史] 「想做的事？」
[爱瑠] 「是这个啦。这个，锵！」
[旁白] 然后她取出的是，3DW。
[旁白] ……嗯？3DW？
[爱瑠] 「其实我呢，喜欢玩怪猎的。玩得还挺入迷的哦」
[柊史] 「诶，是那样么。有点意外啊，女孩子居然会玩怪猎」
[爱瑠] 「其实呢，本来是作为和同班同学交流的途径而买的，但却一直没有和任何人合作，一直热衷在单刷上……因为很闲」
[柊史] 「好阴暗好阴暗。而且好沉重」
[爱瑠] 「……你刚才心里在想我是个奇怪的家伙吗？」
[柊史] 「不，怎么会。我也是单刷的啊」
[爱瑠] 「学长也是？」
[柊史] 「姑且算是。虽然只是爱好的程度」
[爱瑠] 「那要一起玩吗？现在有带着吗？」
[柊史] 「带着的。稍微等下」
[旁白] 我从口袋里掏出3DW，打开电源等待软件启动。
[爱瑠] 「学长经常和人合作吗？」
[柊史] 「不，基本没有吧。只是偶尔组一下野队而已」
[爱瑠] 「我也差不多呢。啊，说到合作的话……」
[爱瑠] 「其实昨天，我和一个挺有趣的人组队了呢」
[柊史] 「……昨天？」
[爱瑠] 「玩得不怎么好……不如说，说实话是个玩得很差的人。明明用的是长枪却过度地贴近敌人」
[柊史] 「……长枪？」
[爱瑠] 「无可奈何就用治疗弹给他回复了，但是他却因为想道谢而停下动作，结果被怪物打飞了啊！」
[爱瑠] 「真是太好笑太好笑了！对吧？很好笑对吧？」
[爱瑠] 「咦？学长？你怎么了？」
[旁白] 我保持着沉默，无言地进入了怪猎的等待房间。
[旁白] 因幡同学的角色已经在房间里了，那个角色名很眼熟。
[旁白] 同时，对方似乎也一样。
[爱瑠] 「……啊，乌纳吉……先生」
[柊史] 「有什么事么，拉比小姐？」
[爱瑠] 「不，不过，是谁都有这样的时期啦。不习惯的话这种情况也是常有的。」
[柊史] 「昨天十分感谢。给我打了治疗弹什么的，真是感激不尽」
[爱瑠] 「……不、不客气」
[爱瑠] 「不如说，那个，我才要向你说谢谢。怎么说呢很愉快的，合作打怪」
[柊史] 「是么，能博你一笑真是太好了」
[爱瑠] 「不是的，不是那样的，我并不是在抱怨，应该说觉得可爱，还是该怎么说呢……」
[柊史] 「我玩的差是事实所以没关系啦……」
[爱瑠] 「呜哇啊啊，请原谅我啦！」
[旁白] 话说原来拉比小姐是因幡同学啊！？
[柊史] 「嘛那个先不管」
[柊史] 「你玩多久了？等级呢？」
[爱瑠] 「游戏时间吗？差不多三百小时吧。等级91左右」
[柊史] 「才发售不到两个月就！？太可怕了，废人度超高！」
[爱瑠] 「什……什么啊？不可以吗？」
[柊史] 「不，没什么。只是，我连一百小时都还没有玩到所以有点吃惊而已」
[柊史] 「话说，有那种兴趣·特技的话你倒是早说啊！玩得那么厉害，要在班上受欢迎简单得很啊」
[爱瑠] 「是，是那样的吗？」
[柊史] 「是啊。不如说，时机就只有现在了」
[柊史] 「因幡同学合作时支援得也很好，绝对能行的」
[旁白] 再过一段时间的话，就会有人玩腻。
[旁白] 而且大家玩得时间长了，装备之类的凑齐了就不好崭露头角了。
