05 为她画上小恶魔的装扮
阅读阶段：好感萌芽·紬
前情提示（整理者添加，非原文）：万圣节演出结束后，柊史和紬在派对上交谈。
原选集：05_为她画上小恶魔的装扮.txt；第 9—138 行；本篇为原选集该篇的第 1/1 段。
全文来源：魔女的夜宴_剧本文本.txt，第 9191—9320 行；原章：020.共通－パーティー紬
说明：篇名、前情与来源说明为编辑文字；以下正文逐字保留原选文，包括原译名、错字、标点、控制标签和已有空行。不同角色路线不能视为同一时间线。

========== 原文开始 ==========
[柊史] 「啊……累死了」
[紬] 「辛苦了。给，这是果汁」
[柊史] 「谢谢，椎叶同学」
[旁白] 我接过杯子一口气喝干了它。
[旁白] 我们在舞台上表演的时间，最多也就是10分钟。
[旁白] 即使如此还是因为紧张和一些七七八八的原因累得不行。
[旁白] 再加上正式表演结束，神经也放松下来了。
[紬] 「好厉害！完全燃起来了！」
[柊史] 「能听你这么说虽然是很开心，不过失误层出不穷啊」
[紬] 「这也没办法嘛，毕竟不是专业的。不过就算这样也已经把气氛完全炒热了，不挺好的吗！这才是最重要的」
[柊史] 「确实」
[柊史] 「不过能这么热闹，主要是绫地同学的功劳，我没起到什么大作用啊」
[紬] 「Stop。这个和失误什么的没有关系」
[紬] 「是登上舞台的大家一起把气氛搞得这么热闹的，保科君也坦率地高兴一下嘛」
[柊史] 「……是这样吗」
[紬] 「当然是这样的！至少，我认为保科君也应该得到称赞」
[柊史] 「真是谢谢了。那我就恭敬不如从命，老实地感到高兴吧」
[紬] 「哎嘿嘿」
[旁白] 虽然嘴上说东说西，其实我心里还是高兴得不得了。
[旁白] 正如椎叶同学所说，会场气氛高涨。就算有一些瑕疵，演奏也一直进行到了最后。
[旁白] 因为迄今为止，一直都在继续着平时不曾做过的努力，这样子得不到满足感才奇怪呢。
[柊史] 「嘛，不管怎么说，能这么热闹真是太好了」
[紬] 「那当然热闹啊。说实话，我还觉得你挺帅的呢！」
[柊史] 「哦，哦……谢谢……」
[旁白] 还是头一次有人夸我帅。
[旁白] 而且还是女孩子，被可爱的女孩子说帅气什么的。
[旁白] 虽然椎叶同学可能并没有那个意思……但我胸中还是不禁小鹿乱撞。
[紬] 「……嗯？怎么了吗？」
[柊史] 「啊，没有。没什么」
[旁白] 这么一看……果然，椎叶同学真可爱啊。
[旁白] 和这么可爱的女孩子，在黑灯瞎火的地方二人独处。
[旁白] ……啊，意识到的一瞬间心跳又加速了。
[旁白] 只是……
[旁白] 从椎叶同学那里，害羞、焦急之类的感情什么都没传过来，她完全没这种意识的样子。
[紬] 「哎呀，可以的话我还想再听两、三曲啊」
[柊史] 「饶了我吧……手指会断掉的」
[旁白] 仅是弹一曲，左手就已经伤痕累累了。
[旁白] 正式表演还漏洞百出。再增加曲目的数量会死人的。特别是我的左手会废掉。
[紬] 「啊哈哈，是说假如可以的话呢」
[紬] 「真的很开心……可以的话，我也想疯玩一下呀，比如Cosplay什么的」
[柊史] 「………」
[紬] 「啊，抱歉！难得的好气氛我却说这些冷场的话。我也并不是想抱怨什么的」
[旁白] Cosplay么，是男装的话……不，重要的是那样她本人也会感到不满吧。
[旁白] 到底怎么做才好呢。
[旁白] 椎叶同学能穿的女孩子的衣服……那身魔女的服装倒是女装，可穿着那个的话周围的人就察觉不到了——
[柊史] 「啊，对了！」
[紬] 「嗯？怎么了？」
[柊史] 「稍微在这儿等等，椎叶同学。我很快就回来」
[紬] 「诶？啊，嗯，知道了」
[柊史] 「我回来了」
[紬] 「欢迎回来。突然就走是怎么了？」
[柊史] 「稍微找点东西」
[紬] 「找点东西？」
[柊史] 「Cosplay的小饰品。你也想尽情狂欢一下对吧？」
[紬] 「你说Cosplay……但是我，女孩子的衣服……」
[柊史] 「嗯。所以椎叶同学，可以先换上那身魔女服吗？」
[紬] 「哎？要回收谁的碎片吗？」
[柊史] 「并不是……总之，能麻烦一下吗？」
[紬] 「嗯……这倒没什么问题」
[紬] 「这样可以吗？」
[柊史] 「谢谢」
[柊史] 「然后，你拿着我刚才借来的这个。还有……斗篷能取下来么？　啊，太好了。那这里就这样，再把这个戴在头上」
[柊史] 「唔……发型也可以稍微弄下吧？啊，感觉不舒服了要马上说」
[紬] 「知道了……不过这到底是……」
[柊史] 「很快你就知道了。头发要这样……啊，顺便戴上小饰品……」
[柊史] 「好了，搞定！」
[紬] 「保科君，这是……」
[柊史] 「怎么说呢？Demon？小恶魔？嘛，大概就是这种感觉啦」
[旁白] 椎叶同学戴着可爱的小角，还拿着玩具三叉戟。
[旁白] 衣服的颜色也许有些勉强……嘛嘛，差不多也是能说得通的程度了。
[柊史] 「嗯，很合适哦。不会不舒服吧？」
[紬] 「现在像这种程度的话貌似没问题……但是……」
[柊史] 「虽说因为穿这身衣服其他人看不见，没法彻底尽兴就是了，不过也算是万圣节的Cosplay哦！这样的……如何？」
[紬] 「………」
[柊史] 「果然不行吗？」
[紬] 「不，不不，没这种事！我很开心！」
[紬] 「小恶魔的Cos……Cosplay啊……哎嘿嘿」
[旁白] 摸着枪和犄角，椎叶同学露出了微笑。
[旁白] 虽然是非常简单的Cosplay，但似乎出乎意料地合她的心意。
[柊史] 「虽然也考虑过吸血鬼，但我想这身衣服比较适合小恶魔吧」
[紬] 「谢谢。本来Cosplay什么的都已经放弃了，所以很开心呀……」
[柊史] 「你能这么说，真是太好了」
[紬] 「呐呐，真的合身吗？」
[柊史] 「很可爱哦。这可不是奉承话」
[紬] 「哎嘿嘿……总觉得很害羞呢」
[柊史] 「啊，对了」
[旁白] 我想起了放在口袋中的那张纸。
[柊史] 「椎叶同学，你有带什么可以写字的东西吗？」
[紬] 「嗯，有是有。自动铅笔可以吗？」
[柊史] 「足够了」
[旁白] 我接过自动铅笔，小心翼翼地写上『椎叶紬』的名字。
[旁白] 然后把笔和纸交到椎叶同学手上。
[柊史] 「给」
[紬] 「啊嘞？这张纸是……Cosplay比赛的投票用纸？」
[柊史] 「直到刚才我还满脑子演奏的事，没有投票呢」
[柊史] 「所以我，想投Cosplay小恶魔的椎叶同学一票」
[紬] 「呜诶……」
[紬] 「呜诶诶诶诶诶诶」
[柊史] 「不过虽然这么说，椎叶同学没参加比赛吧？要是被当成了恶作剧的话也很困扰啊」
[旁白] 椎叶同学盯着从我那儿拿到的纸。
[旁白] 貌似反应有些慢……莫非惹她不高兴了？
[紬] 「嘿！嘿！嘿！」
[柊史] 「痛、痛、痛痛痛！」
[旁白] 她一句话不说，握着我的投票纸，用枪扎着我。
[柊史] 「痛、痛啊，椎叶同学」
[柊史] 「等等，冷静一下！」
[旁白] 明明不是听不见我说的话，然而她还是不断地扎我。
[旁白] 不知为何，她的脸变得通红，也完全不看着我。而且，还传过来了害羞的情绪。
[旁白] 难道……不，也不用难道不难道了，那并不是不高兴而是害羞。
[紬] 「呜……难道保科君是个花花公子？」
[柊史] 「哈？那是啥？」
[柊史] 「我的朋友很少，这点椎叶同学你也是知道的吧？毕竟我们是同班同学啊」
[紬] 「可是，居然会做这种事……这绝对是习惯了的人才会做的哦」
[柊史] 「那只是椎叶同学的误解啊」
[紬] 「可是……像这样的……」
[柊史] 「你想啊，我在超自研做过了咨询，然后有了各种各样的经验。仅此而已啊」
[紬] 「真的吗？」
[柊史] 「真的」
[紬] 「好—可—疑—呀」
[柊史] 「况且这点事也没什么大不了的吧」
[紬] 「没这种事。没这种事的……因为我很高兴啊」
[柊史] 「是，是吗……」
[紬] 「……谢谢……」
[旁白] 貌似我做了件十分难为情的事！？
[旁白] 哇—！　哇—！　哇—！　意识到后，真的变得无比羞耻了！
[柊史] 「果、果然还是算了。刚刚的不算！投票纸，请还给我！」
[紬] 「哎—！？那可不行哦！我已经收下了！这是我的东西！」
[柊史] 「别这样啊」
[紬] 「不行就是不行。绝对不会还给你的呢，嘿」
[柊史] 「痛！？所以说了不要刺过来啊！」
