06 派对中的并肩休息
阅读阶段：好感萌芽·宁宁
前情提示（整理者添加，非原文）：两人完成了乐队演出，在派对间隙休息；心之碎片是此前的共同任务。
原选集：06_派对中的并肩休息.txt；第 9—203 行；本篇为原选集该篇的第 1/1 段。
全文来源：魔女的夜宴_剧本文本.txt，第 9323—9517 行；原章：020.共通－パーティ寧々
说明：篇名、前情与来源说明为编辑文字；以下正文逐字保留原选文，包括原译名、错字、标点、控制标签和已有空行。不同角色路线不能视为同一时间线。

========== 原文开始 ==========
[柊史] 「辛苦了，绫地同学」
[宁宁] 「谢谢你，保科君」
[旁白] 她接过我递出的果汁，一口气喝了下去。
[宁宁] 「噗啊，哈啊……累死了」
[旁白] 绫地同学满足地舒了口气。
[旁白] 不，不仅仅是舒口气。舒缓后的身体，和安心的表情，都把那充实感传达给了我。
[柊史] 「今天能接过主唱的位置真是太感谢了，绫地同学」
[柊史] 「托你的福，真是帮了大忙了。乐队演出也成功了，舞台气氛也很热烈」
[宁宁] 「不不，没什么。活动组织也和我相关，并不是什么值得道谢的事情」
[宁宁] 「这也是分内的工作嘛」
[柊史] 「也许是这样没错，但能够燃成那样，也是因为绫地同学献唱了啊」
[旁白] 这并不是在说谎，舞台演出的确是很成功的。
[旁白] 虽然这么说，但我的演奏等级还差得远。
[旁白] 不过，由绫地同学担任主唱，吉他手和架子鼓也充分地彰显了自己的声音，会场的气氛非常棒。
[柊史] 「到了那种程度的话仮屋的“心之碎片”也能够回收了吧？海道因为习惯了可能有些困难」
[宁宁] 「也许是这样吧……但现在真的已经很累了……」
[柊史] 「嗯，总之，先好好休息下吧」
[柊史] 「话说回来……很棒啊，绫地同学的歌。歌声那么美，又细腻……演奏的时候感觉都要听入迷了」
[宁宁] 「这、这种事……又是记错歌词又是跑调的，失误也不是一次两次，只是靠着气势总算混过去了而已」
[柊史] 「就算是靠着气势，但也足够热闹了，这种情况算是成功的吧？」
[宁宁] 「……也许是这样呢」
[柊史] 「嗯。所以说，还是多亏了绫地同学啊」
[旁白] 像是要隐藏害羞一般，绫地同学拿起杯子对着嘴。
[旁白] 但是，她似乎是忘了刚刚已经喝完，浮现出了『咦？』的表情。
[柊史] 「要续杯吗？」
[宁宁] 「不，不用了。比起这些，保科君才是，辛苦了」
[宁宁] 「多亏了保科君的节奏，我才能唱得非常顺利」
[柊史] 「你能这么说，左手那么狼狈也算有价值了」
[宁宁] 「贝斯，不打算继续练下去了吗？」
[柊史] 「这还真是有点不太好办。毕竟那贝斯也是借来的」
[柊史] 「而且你看，我也有社团活动的嘛。所以说这次也是因为是社团活动的一环所以兴致强一点」
[宁宁] 「是这样吗」
[柊史] 「说起来绫地同学呢？还想不想再一次这样唱歌呢？」
[宁宁] 「怎么会，果然在观众面前还是很紧张的。而且，“那个”不知什么时候会来很不安的，所以我不行啦」
[柊史] 「不过，今天不是没问题吗？」
[宁宁] 「如果说情况必须的话倒是另说……那种情况，已经受够了」
[宁宁] 「而且我和保科君一样，这只是作为社团活动的一环而已」
[柊史] 「……是这样吗。是啊……」
[宁宁] 「………？那个，怎么了？发生什么了吗？」
[柊史] 「不是，我就是觉得太可惜了。就我个人来说，还想再听听的」
[宁宁] 「那么害羞的事情，不会再做了。Cosplay什么的，那种夸张的打扮，还要站在那么多人面前……」
[宁宁] 「拜此所赐失误也很多，离完美还差得很远，并不是能在人前展现的歌。就算是现在，自己的失误还在脑中挥之不去……」
[宁宁] 「平常的我绝对不会做这种事的。现在想起来也是……啊啊……好害羞……」
[柊史] 「………」
[旁白] 我倒是觉得真挺好的。
[旁白] 而且当时的气氛那般高涨，其他人应该也和我想的一样吧。
[旁白] 真是天籁般的歌声……刚刚虽然稍微蒙混了一下，但我其实是完全听入迷了。
[旁白] 在闪耀的舞台之上，被热情的观众们注视着，十分紧张却又强撑着，即使那样绫地同学也比谁都要耀眼。
[旁白] 就算是现在，她那身姿我都能清楚地回想起来。
[旁白] 我一定不会忘记今天的事情。无法忘记。
[旁白] 虽然大概也有这是我首次在舞台上弹贝斯的因素，然而绫地同学那闪耀的身姿更令我印象深刻。
[柊史] 「并不是想取笑你，我是真心觉得很棒啊。不管是歌，还是唱着歌的绫地同学的身姿」
[宁宁] 「谢……谢谢，你……」
[柊史] 「莫非在后悔么？后悔上台表演了」
[宁宁] 「诶？不，那个……保科君是很满足的对吧？」
[柊史] 「嗯。我并没有在后悔哦，虽然和预想中一样弹得很烂，但很满足了」
[宁宁] 「我也是，就自己而言很满足……感觉挺开心的」
[柊史] 「这么一说……在接受主唱位置的时候，我感觉到了绫地同学强烈的意愿」
[柊史] 「不是破罐破摔，也不是怕我们困扰而勉为其难地接受，是不同于这些的强烈意愿，或者说是……该怎么说呢，这种的」
[柊史] 「说起来，为什么绫地同学会接受这次的换人呢？」
[宁宁] 「………」
[柊史] 「啊，那个，如果不想说的话，也没关系」
[宁宁] 「并不是不想说……只是理由稍微，有些羞人……」
[柊史] 「羞人的理由！？」
[宁宁] 「请不要对那个产生这么大反应啊，才不是保科君所想的那种理由啊」
[柊史] 「……啊，不是吗？」
[宁宁] 「为什么摆出那么遗憾的表情啊……」
[柊史] 「不不，并不是什么遗憾的表情……话说绫地同学，到底认为我在想些什么啊？」
[宁宁] 「这、这个嘛……那个……视、视奸，play，之类的……」
[柊史] 「……视奸play是」
[旁白] 不好，从那么可爱的人的嘴里说出视奸play什么的，想想还有些小激动呢。
[宁宁] 「真是的，为什么你要让我说这些啊！」
[柊史] 「不不不！我觉得不是我让你说的吧！？」
[宁宁] 「保科君，你是觉得羞辱我很有趣对吧。真是，太下流了」
[柊史] 「没，没这种事啊！？」
[宁宁] 「保科君……你可是一脸坏笑哦。表情非常得下流」
[宁宁] 「欺负人……」
[旁白] 怎么办……闹小别扭的绫地同学也好可爱。
[旁白] 如果我真的满脸坏笑的话……一定是因为绫地同学太可爱了吧。
[宁宁] 「总之呢，我不是想说那些乱七八糟的。我想说的是保科君的左手」
[柊史] 「我的？」
[旁白] 只要有时间就去摸吉他的，狼狈不堪的左手。
[旁白] 这到底怎么回事？
[宁宁] 「你的左手……都拼命练习成那副惨状了。如果让这份努力白费的话我会觉得很遗憾，或者说，会觉得很讨厌」
[宁宁] 「所以，如果我能帮得上忙的话……至少打算报个恩」
[柊史] 「报恩？对我？」
[宁宁] 「因为一直以来都很受保科君的关照。所以想着就这点程度的话，什么的」
[柊史] 「怎么会，我并没有做过什么可以称为关照的事」
[宁宁] 「不不，我受了很多关照。所以，就算只是绵薄之力，能让保科君满足的话，我也很乐意的」
[旁白] 在仅有2人的宁静空间里，这开心的笑容只对我绽放着。
[旁白] 当我注意到那温柔的笑容和话语时，胸口咚地痛了一下。
[旁白] 感觉胸口好像变热了……不，好像是变难受了……？
[旁白] 还有一些其他的奇妙的感觉……什么啊，这是。
[旁白] 不对等下。以前也有过这样的感觉。我记得应该是……
[柊史] 「绫地同学，碎片呢？那个碎片小瓶呢？」
[宁宁] 「诶？啊，好的。我有带着……怎么了吗？」
[柊史] 「量怎么样了？碎片有没有从我的心里回去一点？」
[宁宁] 「我看看……啊，的确是。比以前稍微增加了一点呢」
[旁白] 果然。刚刚的感觉，就是心之碎片回到绫地同学那里的感觉吗。
[宁宁] 「是因为乐队演出吗？」
[柊史] 「大概，是……吧？」
[旁白] 虽然失误层出不穷，但我的心情也和绫地同学一样。
[旁白] 练习有了成果这一点肯定没错。
[旁白] 至今为止都是吊儿郎当地过日子……实际上努力一下，感觉也不错。
[旁白] 这是仅仅支援他人所无法体验到的、我第一次感受到的充实感。
[旁白] 这对我来说是非常好的体验……但再继续通过参加乐队的活动来让碎片回去毫无疑问会很困难了。
[旁白] 毕竟鼓起多少干劲也就会增加多少辛劳。
[旁白] 而且去除了社团活动的成分作为乐队活动的话，就只会觉得辛苦，而能够体会到的充实感也会降低吧。
[柊史] 「不过乐队今天就解散了，左手也已经接近极限了。所以下周开始，就能继续超自研的活动了」
[宁宁] 「不用太在意这边也可以的哦……碎片能够像这样回到我这里，就说明保科君也并不讨厌这样的活动吧？」
[柊史] 「我很高兴，这是事实……但果然比起台面上的，我和幕后工作的相性更好一些」
[宁宁] 「是这样吗？」
[柊史] 「的确我已经获得了足以让碎片回去的成就感，演奏说实话也很开心」
[柊史] 「不过果然还是很不擅长被人注视。刚才也是，一不小心我估计会在舞台上就那么呕吐起来的」
[宁宁] 「但是你刚表现的可不像是那样啊」
[柊史] 「如果是这样的话……那可能是初次登台的缘故？」
[旁白] 只是靠着肾上腺素之类的无视了别人的视线而已吧。
[旁白] 次数变多的话，应该就没法无视别人的视线了吧。
[宁宁] 「很帅气哦，保科君演奏的样子」
[柊史] 「啊，唔，嗯……谢谢……」
[旁白] 刚刚，绫地同学口中说出的只是感想，并没什么特别的意义。这个看表情就一目了然。
[旁白] 不过突然被说“很帅”什么的……果然，会紧张啊……
[柊史] 「虽然我很高兴但还是就此打住吧。听你这么说，反而又想继续玩乐队了。但是继续的话……我绝对会后悔的」
[宁宁] 「不是挺好的吗，继续下去也很不错的哦」
[柊史] 「……你啊，是故意这么说的吧？」
[宁宁] 「这是对你一直欺负我的反击哦～」
[旁白] 我并没有想要欺负她啊……
[柊史] 「不会继续了。已经上过一次台了……已经受够了」
[柊史] 「我真的不后悔，但如果不是非常有必要的话我是不打算再干了」
[柊史] 「也就是说，我也和绫地同学是一样的」
[宁宁] 「嘻嘻……果然，我们有些地方很像呢」
[柊史] 「果然？」
[宁宁] 「你看，以前我也说过吧？『感觉有什么地方和我很相似』」
[柊史] 「啊，啊……这么一说」
[旁白] 好像是在她察觉到我和他人保持着距离交往，所以询问理由的时候。
[宁宁] 「那句话并不是说谎。同为有着无法告人的秘密的人……不由得有些亲近感」
[宁宁] 「不过……最近，说不定有些不同了」
[柊史] 「这是，因为我有所改变吗？」
[宁宁] 「保科君也觉得自己变了吗？」
[柊史] 「虽然我自己也有感觉……周围的人也都这么说」
[柊史] 「我的变化就那么显而易见吗？」
[旁白] 我觉得我只是更多地参与到别人的事里而已，就这么明显吗？
[宁宁] 「是的。也许保科君自己没察觉到，但现在的笑容可是以前所不能相提并论地自然哦」
[柊史] 「是吗？」
[宁宁] 「就是这样」
[旁白] 除了整理发型的时候，从没有特地去看过自己那没什么精神的脸。
[旁白] 笑容什么的，尤其感到恶心。
[柊史] 「如果我真的改变了的话……那一定是多亏了超自研，以及绫地同学」
[宁宁] 「不不，没有的事。我什么也没有做哦」
[柊史] 「没这种事。让我想要改变的契机，就是绫地同学」
[柊史] 「这次也是帮了舞台的忙……还帮我吹飞了左手的疼痛不是吗」
[宁宁] 「诶？……啊……」
[宁宁] 「你又这样开我玩笑」
[柊史] 「不是的。我并没有这个意思，倒不如说……绫地同学是那么看我的吗？」
[宁宁] 「因为……保科君不是总欺负人嘛」
[柊史] 「不会吧？从哪看出我欺负你了？」
[宁宁] 「从你经常羞辱我这点」
[旁白] 不不，那些该说是事故吗……不如说，不是绫地同学自爆得比较多吗？
