11 病愈后，一起走向学校
阅读阶段：病愈重逢·宁宁
前情提示（整理者添加，非原文）：柊史此前到宁宁家探病。宁宁已经恢复，两人在上学路上碰面，想起探病时的互动而害羞。
原选集：11_探望她之后，开始正视心意.txt；第 9—125 行；本篇为原选集该篇的第 1/4 段。
全文来源：魔女的夜宴_剧本文本.txt，第 10705—10821 行；原章：103.寧々－告白
说明：篇名、前情与来源说明为编辑文字；以下正文逐字保留原选文，包括原译名、错字、标点、控制标签和已有空行。不同角色路线不能视为同一时间线。

========== 原文开始 ==========
[太一] 「那爸爸就先走了啊！」
[太一] 「回来的时间应该和平时一样。之后就拜托你了」
[柊史] 「啊啊，知道了。走好」
[太一] 「噢，我出发了！」
[旁白] 老爸一如既往精神抖擞地出了门。
[旁白] 真是个一直都精力充沛的人啊。
[旁白] 嘛，这样对我来说也是好事。
[柊史] 「好了，赶紧收拾一下去学校吧」
[旁白] 绫地同学有没有好起来呢？
[柊史] 「……啊，绫地同学」
[宁宁] 「啊，早上好，保科君」
[柊史] 「早上好」
[旁白] 和往常一样上学的途中，在预想之外的地方遇到了绫地同学。
[旁白] 在这里遇到还真是少见。上一回还是第一次被带去黑猫咖啡厅的那次吧？
[柊史] 「已经好了吗？」
[宁宁] 「是的，托你的福。身体和食欲都恢复了」
[柊史] 「那是再好不过了」
[宁宁] 「上周真是谢谢你了」
[柊史] 「没什么，只是做点力所能及的事」
[宁宁] 「苹果和乌冬面都很好吃。谢谢款待」
[柊史] 「你这么说我很高兴啊，不过也不是什么大不了的」
[宁宁] 「没有那种事。多亏了保科君来探望我，才能顺利地恢复健康」
[柊史] 「啊——那，说不定是咒语起效了哦」
[宁宁] 「……咒、咒语……吗」
[柊史] 「啊……」
[宁宁] 「………」
[柊史] 「………」
[旁白] 听到我说的话，绫地同学的脸上染上了一片红晕。
[旁白] 肯定是因为想起来露出腹部的事情了吧。
[旁白] 我的脑中，也快要清晰地回想起那可爱肚脐和细腻柔软皮肤的触感了——
[旁白] ——我捏我捏。
[宁宁] 「又，又在捏着手心想些什么奇怪的事情了」
