15 第一次邀约前的紧张准备
阅读阶段：邀约准备·憧子
前情提示（整理者添加，非原文）：万圣节活动之后，柊史和憧子的距离拉近，他向朋友请教约会准备。
原选集：12_第一次邀约前的紧张准备.txt；第 9—355 行；本篇为原选集该篇的第 1/1 段。
全文来源：魔女的夜宴_剧本文本.txt，第 39588—39934 行；原章：401.憧子－初デート
说明：篇名、前情与来源说明为编辑文字；以下正文逐字保留原选文，包括原译名、错字、标点、控制标签和已有空行。不同角色路线不能视为同一时间线。

========== 原文开始 ==========
[和奏] 「嗯~~星期六真的很开心啊」
[秀明] 「啊啊，我也弥补了遗憾，是啊，我原本就是因为想沐浴在那种欢呼声中白开始玩乐队的嘛」
[秀明] 「实际上我却完全没有享受过那种待遇，最终放弃了……所以虽然这次是被气氛感染才答应的，但又参与真是太好了」
[和奏] 「嗯，我也是！感觉非常舒服！」
[秀明] 「啊，你这种说法感觉有点工口啊」
[和奏] 「哇，太差劲了」
[秀明] 「被你这冷淡的双眼盯着……让我有种与昨天沐浴在欢呼声时不一样的兴奋感」
[和奏] 「真是受不了啊——」
[柊史] 「………」
[旁白] ……果然，能清楚地感受到。
[旁白] 能感受到两个人刚刚一直在开心兴奋的心情。
[旁白] 还有现在板屋受不了海道的感情和海道对那种态度毫不在意的心情。
[紬] 「保科君？　在这里发着呆，怎么了？」
[柊史] 「啊啊，不，稍微考虑一些事情」
[紬] 「……？啊，难道说在烦恼着要不要今天弹贝斯吗？」
[柊史] 「怎么会。虽然确实很开心，但我的手指也是在是到极限了。而且还有社团活动啊」
[柊史] 「嘛……如果是被邀请去什么活动的话或许会考虑一下，但我应该没有积极但想要主动练下去的程度，毕竟各种意义上都很辛苦啊」
[紬] 「是这样么？但是，那你又是在考虑些什么呢？」
[柊史] 「 嗯……椎叶同学，可以稍微握一下手吗？」
[紬] 「诶？啊，握手？倒是可以啦……但是为什么突然要握手？」
[旁白] 带着一脸不可思议的表情，椎叶同学握住了我的手。
[旁白] 啊……真是柔软的手啊……。
[旁白] 虽然是我主动提出来的，但还是能感受到自己的脸因为椎叶同学的手的柔软触感而变红了。
[紬] 「……那，那个……你的脸这么红的话，连我也会害羞的」
[旁白] 这么说着的椎叶同学脸也红透了。
[旁白] 仿佛是从相连着的手流过来似的，羞涩的感情清晰地传达了过来。
[旁白] 这绝对不只是我一个人的害羞感情。
[旁白] 这样的话……无法感觉到感情的，果然就只有户隐学姐一个人而已啊。
[紬] 「那，那个……保科君？」
[柊史] 「啊，抱歉抱歉，突然握住你的手，并没有什么特别的意思」
[紬] 「诶？啊……到，到底怎么回事？话说回来……既然没有什么特别的意思的话，还是希望你不要做这种让人感到害羞的事情哦」
[柊史] 「没有那种意思的，只是，实际握起手的话比想象中的更让人害羞啊」
[柊史] 「总，总之目的已经达到了。谢谢」
[紬] 「不不，这样就能够帮上忙真是太好了」
[紬] 「………」
[紬] 「然后，那个……还要继续握着手吗？」
[柊史] 「啊，不用了，握了这么长时间真是抱歉」
[旁白] 慌慌张张地松开手。
[旁白] 但是！红透了的脸却完全没有要恢复原状的迹象。
[旁白] 而且――
[秀明] 「刚刚那个暧昧的气氛到底是怎么回事？」
[和奏] 「嘛，怎么回事呢？但是，两个人一边握手一边对视，总感觉很可疑呢」
[柊史] 「没有那回事啦」
[柊史] 「我，我去买点饮料」
[紬] 「啊，嗯。慢走」
[秀明] 「逃跑了」
[和奏] 「逃跑了呢」
[紬] 「话说，到底是怎么了？总感觉自己好像被耍了……」
[旁白] 装作没听到背后的话，像是要逃离背后那些刺人的视线般地……不，应该说是我完全是夹着尾巴逃跑了。
[柊史] 「哈……感觉一会儿很难回教室啊」
[旁白] 喝着果汁的我，轻轻地叹了一口气。
[憧子] 「嗯？怎么了，在这里唉声叹气」
[柊史] 「呜哇！？」
[憧子] 「用不着这么吃惊吧……姐姐我很受打击啊」
[柊史] 「啊，不，不是的。只是在考虑一些事罢了」
[憧子] 「想事情？保科君还真是被容易吓到呢。和我第一次见面的时候也是这样被吓到的吧？」
[柊史] 「经你这么一说，好像是有这么回事」
[旁白] 准备去还绫地同学的学生证，在超自研活动室前碰面的时候。
[旁白] 那时候也是，毫无预兆地冲我搭话了……啊，这样啊！
[旁白] 果然，我从第一次碰到户隐学姐开始就无法感觉到她内心的感情。
[旁白] 所以在没有感受到他人情感状态下，一下听到突然出现的声音自然会感到吃惊。
[憧子] 「又在想事情？」
[柊史] 「啊！抱歉」
[柊史] 「学姐有什么事吗？」
[憧子] 「当然是来买喝的东西啦」
[柊史] 「抱歉，在这里站着妨碍了你」
[憧子] 「这倒没什么关系啦，我也没那么急」
[旁白] 我从自动贩卖机前让开，户隐学姐投入了100日元。然后毫不犹豫地选择了巧克力酸奶。
[憧子] 「嗯——，好好喝，我就是喜欢这种酸味呢。保科君是果汁？」
[柊史] 「今天有种想喝点甜的东西的心情」
[憧子] 「果汁也非常好喝呢。但是甜味会让人联想到水果，总让人感觉卡路里很高的样子呢」
[柊史] 「其实，也没比其他的高多少啊」
[柊史] 「户隐学姐不用那么在意哦」
[憧子] 「没有这回事啦，因为，绫地同学那样的身材才是最理想的不是吗？」
