32 忘记了她，却留下了前行的勇气
阅读阶段：遗忘后的日常·宁宁线
前情提示（整理者添加，非原文）：接续宁宁离开后的故事。柊史逐渐忘记她，却仍因空座位、单人大头贴等事物感到难以解释的失落，也保留了交往中获得的改变。
原选集：22_告别约会与继续向前.txt；第 341—522 行；本篇为原选集该篇的第 2/2 段。
全文来源：魔女的夜宴_剧本文本.txt，第 16121—16302 行；原章：109_β.寧々－お別れデート
说明：篇名、前情与来源说明为编辑文字；以下正文逐字保留原选文，包括原译名、错字、标点、控制标签和已有空行。不同角色路线不能视为同一时间线。

========== 原文开始 ==========
[女子] 「那个…保科君，有空么」
[旁白] 早上，走向教室的路上，一个可爱的声音叫住了我。
[柊史] 「嗯？啊，秋田同学，有什么事吗？」
[秋田] 「那个呢，虽然今天也有图书管理员的工作……但是今天有非常重要的事」
[秋田] 「所以，虽然很不好意思，但能不能替我做下管理员的工作？」
[柊史] 「……要是你无论如何也脱不开身的话，倒也可以啦……」
[柊史] 「所以说，真的是无法脱身的要事吗？」
[秋田] 「……诶？」
[柊史] 「啊，没事。虽然很不好意思，但我也有社团活动，而且家里不得不做的事也变多了啊」
[柊史] 「啊，这次就帮帮你吧。之前也欠着秋田同学很多人情」
[柊史] 「但是今后，我可不会随便答应了哦」
[柊史] 「刚才也说过了，我也有很多的预定啊。最近交际也多了些……抱歉」
[秋田] 「嘛，也是呢。保科同学也有自己的事嘛。之前一直答应，所以不知不觉就来找你了」
[秋田] 「对不起，所以说欠我的之后再找机会还吧」
[秋田] 「今天我去拜托别人看看。那回头见」
[旁白] 秋田同学这么说着走回了教室。
[旁白] ……刚才的感觉……好像没有不高兴……吧？
[旁白] 不如说，因为惊讶，她根本就没有想到那种事吧。
[柊史] 「稍微说得有些重了吗……？」
[旁白] 那种说法不会让人讨厌吧？但是，不清楚地说到那种程度，就没办法传达我的想法。
[旁白] 为什么呢……？以前的话明明那么怕激起别人反感的……
[旁白] 不，现在虽然也很害怕，但是也鼓起了表达自己想法的勇气。
[柊史] 「我……以前是这种人吗？」
[和奏] 「啊，保科，早上好」
[紬] 「早上好，保科君」
[秀明] 「今天快打铃才来，真少见啊」
[柊史] 「稍微有点睡眠不足」
