36 陪她面对父母，一起走向未来
阅读阶段：重逢与长久相伴·宁宁
前情提示（整理者添加，非原文）：这是宁宁路线经历告别与重新开始之后的尾声，与第22篇之间仍有未入选的主线剧情。
原选集：25_从重新相遇走向共同未来.txt；第 9—216 行；本篇为原选集该篇的第 1/1 段。
全文来源：魔女的夜宴_剧本文本.txt，第 21462—21669 行；原章：116.寧々－エピローグ
说明：篇名、前情与来源说明为编辑文字；以下正文逐字保留原选文，包括原译名、错字、标点、控制标签和已有空行。不同角色路线不能视为同一时间线。

========== 原文开始 ==========
[旁白] 那天，我做了个梦。
[旁白] 那是非常美丽且温柔的歌声。手握着麦克风的宁宁，在舞台上绽放着耀眼的光辉。
[旁白] 我则是在她身后，弹奏着贝斯。此外，还有敲鼓的海道，和弹吉他的仮屋。
[旁白] 我们四人一起挑战的万圣节派对的舞台。气氛很高涨，也将至今为止练习的成果全部展现。
[旁白] 当然说不上是完全没有失误。但是，对我来说这就足够了。
[旁白] 终于走到了这一步……自从上次的记忆和我融合后，已有一个多月。
[旁白] 巩固着和宁宁的羁绊，也解决着他人的烦恼……然后，以昨天的派对为最后。
[旁白] 面对大家的心意，宁宁的心受到了触动。
[旁白] 话虽如此，但是罪恶感，应该还没有完全放下吧。
[旁白] 不过，和之前比起来，今后能够变得更加积极。
[旁白] 从宁宁的心中，传来了这样的情感。
[旁白] 一直以来都让宁宁受苦了呢。
[旁白] 一个人支撑着超自研……为了让更多人获得幸福而努力。
[旁白] 同时，为了和我相会，尽量不让未来改变。
[旁白] 就算如此，宁宁还是一个人忍耐着，和我再会了。对于这份努力，我也必须要回馈心意，去支持她。
[旁白] 她一定有着，想要改变的事物。因此，应该也有着悲伤。
[旁白] 就算如此，宁宁还是不断努力……——
[柊史] 「啊啊———————！」
[柊史] 「对了！对了啊！」
[旁白] 为什么到现在为止都没有发现啊！？
[旁白] 不是还有件应该一开始就做的事吗？
[旁白] 我从床上一跃而起。
[太一] 「喂、喂，到底怎么了！？」
[旁白] 因为担心一大早就大声叫嚷的我，父亲进入了房间。
[柊史] 「啊，不，抱歉。什么也没有」
[太一] 「是吗？是做了什么恶梦吗？」
[柊史] 「倒也不是恶梦……只是，我忘了件重要的事」
[柊史] 「总之我没事啦」
[太一] 「那就好……吓了我一跳呢。还以为你因为连日的劳累精神不正常了」
[柊史] 「我可没觉得有那么大的压力。说起来，现在是几点？」
[太一] 「过了八点了」
[柊史] 「嗯、嗯……啊啊……身体的确很疲倦呢」
[旁白] 但是，我必须要起床。
[旁白] 早饭是我的工作。
[柊史] 「……今天可以弄得简单点吗？随便弄点吐司啊、黄油煎蛋加生菜啊……或是烤香肠之类的」
[太一] 「我倒是不怎么介意……啊，吐司我要两片」
[柊史] 「知道了」
[旁白] 派对平安结束后的第二天。
[旁白] 会场的清理工作，也在昨天就结束了。
[旁白] 一般来说今天会一直在家里度过，是个要好好休息的日子……但对我来说可不是这样。
[旁白] 必须要立刻做出行动。
[太一] 「昨天是那个派对吧？怎么样，你弹的贝斯？」
[柊史] 「嗯？确确实实地成功了呢。当然了，也有些失误，但舞台上的气氛算是火起来了」
[太一] 「是吗，那就再好不过了」
[太一] 「那么？今天要一直在家里休息吗？」
[柊史] 「不，我打算打扫完后就出门」
[太一] 「最近，你不是一直都练习到半夜吗？今天就悠哉悠哉地休息休息不好吗？」
[柊史] 「这个啊，我也是有很多事要做的啊」
[太一] 「很多……？……啊」
[太一] 「原来如此，是要去见绫地同学吗」
[柊史] 「………」
[太一] 「不过……可不要因为年轻就太乱来哦。那个……就是那个啊，疲惫的时候还做激烈的运动，对双方都不好呢」
[柊史] 「不要一大早就在餐桌上操那种奇怪的心！」
[太一] 「不过你也是年轻人呢……那种心情我也不是不明白」
[太一] 「儿子提任性要求的时候，偶尔训斥一下是重要的哦。啊，这里的“儿子”，指的是『儿子的儿子』就是了」
[柊史] 「你只是想说说『儿子的儿子』这个词而已吧！」
[柊史] 「总之我要出门」
[太一] 「那我倒是无所谓，但你晚饭要怎么办？」
[柊史] 「大概会在家里吃……详细的情况，傍晚的时候我会再联系的」
[太一] 「知道了。那么，我就偶尔做一次咖喱试试吧。要是你不回来也可以留到明天吃」
[柊史] 「那就拜托你了」
[柊史] 「对了，换个话题啊……能不能，稍微给我点钱？」
[太一] 「诶？开房费……？」
[柊史] 「都说了不要再说那种话了！」
[柊史] 「只是去买些糕点而已！」
[柊史] 「好了，首先是——」
[旁白] 做完家务后，我迅速前往宁宁的公寓，在入口处按响了对应房间的门铃。
[柊史] 「她起来了吗？」
[旁白] 很快就要到下午了，平时的话，应该是已经起来了……但今天的话，有可能因为太过劳累而还在睡觉。
[旁白] 因为宁宁前一段时间每天也过得相当忙碌。要为了准备派对而采购，还有乐队的练习。
[旁白] 如果她在睡觉，我就隔一小段时间再来吧。
[宁宁] 『你好』
[柊史] 「啊，你醒着啊？」
[宁宁] 『柊史君？有什么事吗？』
[柊史] 「嗯。我有点话想要对宁宁说」
[宁宁] 『对我？啊，对不起，我马上开门——啊不。等一下，请等三十分钟左右』
[柊史] 「啊，嗯。我知道了」
[旁白] 在对讲机挂断前，可以听见对面有慌乱的脚步声和噪杂的物品移动声。
[旁白] 是在整理房间吗？
[旁白] 不打招呼就突然来访，果然还是不太好吧？
[旁白] ……回想起来，我来宁宁房间，大多是没有联系就来打扰了。
[旁白] 虽然有带着手机，但因为不怎么使用所以不太习惯。
[旁白] 于是，我随便消磨了下时间，在三十分钟后再次造访了宁宁的房间。
[宁宁] 「那么，今天是有什么事呢？之前应该……没有约定过什么吧？」
[柊史] 「嗯，没有。抱歉，这么突然前来打扰」
[柊史] 「宁宁你今天，有安排吗？」
[宁宁] 「不，没什么安排。本来打算悠哉悠哉地度过的……有什么事吗？」
[柊史] 「其实今天早上，我起床之后突然想到一件事。可以的话，希望宁宁能够陪我……」
[柊史] 「——不如说，要是宁宁不在就没法做了」
[宁宁] 「要是我不在就没法做？」
[宁宁] 「难、难道说……是打算……做一些超级色的……事吗？」
[柊史] 「其实你根本没必要害怕啦……」
[旁白] 符合宁宁级别的『超级色的』事，早已经超越我的想象了啊。
[宁宁] 「那个，请等一下。可以的话，那个……我想要……洗个澡……」
[柊史] 「不用洗澡也没关系的。因为没有那个必要」
[宁宁] 「怎么这样……欺、欺负人……明、明明会在意汗的味道的……居然连那个都要享受，那有些太刺激了，我跟不上的啊」
[柊史] 「不，我又不是什么气味控」
[宁宁] 「求求你了，让我洗澡……要、要不……我们，一起洗吧？」
[柊史] 「我洗！」
[柊史] 「啊，不对不对。虽然因为这个提案太有魅力，我不禁立刻回答了，但我今天可不是为了那种事才来的啊！」
[宁宁] 「那么……不做吗？色色的事……」
[柊史] 「……为什么一脸寂寞地，提出了那么诱人的提案啊……」
[旁白] 宁宁那可爱的央求表情，让我不禁咽了咽口水。
[柊史] 「不要露出那么遗憾的表情啊。我都想要改变原计划，顺着现在的气氛发展下去了……」
[宁宁] 「我觉得……就这样发展下去也挺好……」
[柊史] 「拜托了，不要那么可爱地闹别扭。我真的，会想要在这个房间里度过一天的……」
[宁宁] 「但是那样的话……今天到底要做什么呢？去约会吗？」
[柊史] 「和约会……稍微有些不同吧？」
[柊史] 「其实，今天我想去见见宁宁的父母」
[宁宁] 「诶？我的父母？」
[柊史] 「因为发生太多事而忘记了，但宁宁会像这样一个人住着，是为了要和我相遇」
[柊史] 「想着要尽量不去改变未来，才特意拒绝了母亲，一个人住在这儿」
[宁宁] 「………」
[柊史] 「不过，已经好好地和我相遇了。所以，不是已经可以了吗」
[柊史] 「就算选择让未来发生大的改变不也没关系了吗」
[柊史] 「去和父母谈谈，和他们住在一起不也挺好的吗？」
[宁宁] 「那……确实，是这样……」
[柊史] 「嗯，我知道的。你是在意因为自己的任性而开始一个人住这件事吧？」
[宁宁] 「嗯……而想要住在一起，也是因为我的任性……做这种折腾来折腾去的事情，感觉挺尴尬的」
[柊史] 「我就知道。我也会一起去的。要是一个人很害怕，我会来支持你的。所以不试着努力看看吗？」
[柊史] 「就这样一直内疚下去的话，宁宁是不会彻底得到幸福的」
[柊史] 「要是能住在一起，你父母也应该会高兴的」
[柊史] 「一起住了之后，说不定也会遇到些不顺心的事。或许也会觉得有所不满」
[柊史] 「尽管如此，那其中也蕴含着通往更大幸福的可能性，这一点宁宁你应该也是知道的」
[宁宁] 「………………」
[旁白] 因为在这个决断中宁宁的意愿是最重要的，所以我不想强迫她，或者说让她顺着我的意思来。
[旁白] 就算提案人是我，至少决定权要在宁宁的手上。
[旁白] 所以我就这样保持沉默，静静地等待宁宁的回答。
[旁白] 这沉默到底持续了多长时间呢？
[旁白] 时间并没有多长。不过，沉默开始渐渐变得沉重。
[旁白] 在烦恼了一会儿之后，宁宁缓缓地抬起头来。然后——
[宁宁] 「是……啊。毕竟做错事的是我，一直就这样逃避下去是不行的」
